Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Mieszana,Widoczne naczynka,Nadprodukcja sebum,0,28,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Tołpa Authentic Nawilżona Skóra,Olejek z drzewa herbacianego The Body Shop,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Tłusta,Nadprodukcja sebum,Nadprodukcja sebum,0,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,Podrażnienie,Widoczne naczynka,0,23,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Niedoskonałości,Suche skórki,1,22,CeraVe Wygładzający Żel do Mycia,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Uriage Roseliane SPF30 krem do cery naczynkowej,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,SVR Sebiaclear Hydra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Podrażnienie,Brak,0,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Hagi phases,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,Nadprodukcja sebum,Suche skórki,0,23,La Roche Posay Effaclar żel oczyszczający,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,HELLO BODY Coco Dream Regenerujące serum,Dermedic Melumin,Maść Ichtiolowa,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Szara cera,Podrażnienie,0,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Przebarwienia,1,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Naklejki na krostki z Selfie Project,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Szara cera,1,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Nacomi Next Lvl ceramidy 5%,Sensibio AR Bioderma,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,HelloBody Aloe Light nawilżający krem do twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Rozszerzone pory,Brak,1,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Widoczne naczynka,Przebarwienia,0,19,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Suche skórki,1,26,La Roche Posay Effaclar żel oczyszczający,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Acnederm,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Suche skórki,0,21,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Szara cera,1,28,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HelloBody Aloe Light nawilżający krem do twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,brak
Normalna,Suche skórki,Przebarwienia,1,19,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,HELLO BODY Coco Dream Regenerujące serum,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Nadprodukcja sebum,Podrażnienie,1,26,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Szara cera,Niedoskonałości,0,35,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Yves Rocher Riche Créme intensywny krem ??regenerujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Naklejki na krostki z Selfie Project,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Rozszerzone pory,Suche skórki,0,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Rozszerzone pory,Widoczne naczynka,0,16,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Sensibio AR Bioderma,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Tołpa Authentic Nawilżona Skóra,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Widoczne naczynka,Podrażnienie,0,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Naklejki na krostki z Selfie Project,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Normalna,Nadprodukcja sebum,Brak,1,27,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Suche skórki,0,16,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Podrażnienie,1,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Sensibio AR Bioderma,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Naklejki na krostki z Selfie Project,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Przebarwienia,1,21,FLUFF Superfood nawilżająca emulsja do mycia twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Mieszana,Nadprodukcja sebum,Brak,1,25,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Suche skórki,0,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Podrażnienie,0,19,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,Podrażnienie,Niedoskonałości,1,18,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Szara cera,Przebarwienia,1,22,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Niedoskonałości,Podrażnienie,1,24,La Roche Posay Effaclar żel oczyszczający,The Ordinary Hyaluronic Acid 2% + B5,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Szara cera,Niedoskonałości,0,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Sucha,Przebarwienia,Suche skórki,0,18,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający krem do twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Normalna,Szara cera,Podrażnienie,0,20,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Nacomi Next Level Serum Ceramidy 5%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Szara cera,Przebarwienia,1,21,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Tłusta,Nadprodukcja sebum,Nadprodukcja sebum,1,26,BANDI Pure Care Morski żel oczyszczający do twarzy,Tołpa - Pre Age - Matujące Serum Normalizujące - 20ml,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Maść Ichtiolowa,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Sucha,Niedoskonałości,Nadprodukcja sebum,1,18,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Acnederm,Maska Glinkowa Ziaja,Brak
Normalna,Przebarwienia,Podrażnienie,1,29,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Przebarwienia,Podrażnienie,1,26,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Widoczne naczynka,Szara cera,1,18,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Podrażnienie,Suche skórki,1,16,Żel Tołpa Dermo Face Physio,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Przebarwienia,Suche skórki,0,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Brak,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Tołpa - Pre Age - Matujące Serum Normalizujące - 20ml,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Brak,0,21,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Przebarwienia,1,19,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,Sensibio AR Bioderma,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Naklejki na krostki z Selfie Project,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Szara cera,Przebarwienia,1,21,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Rozszerzone pory,Brak,1,23,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Sunewmed Essence+ Aktywator Pod Krem I Oczy,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Podrażnienie,Podrażnienie,0,17,Żel Tołpa Dermo Face Physio,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Nanili Professional T-Cream (Aktywny krem naprawczy),Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Podrażnienie,Niedoskonałości,1,29,BANDI Pure Care Morski żel oczyszczający do twarzy,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Maść Ichtiolowa,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,brak
