Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Tłusta,0,Nadprodukcja sebum,Brak,18,Neutrogena Visibly Clear Clear & Defend Facial Wash,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,TOŁPA DERMO FACE STREFA T nawilżające serum-booster,CeraVe Nawilżający Krem do Twarzy,Acnederm,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Węglowa z 2% Kwasem Salicylowym,Brak
Tłusta,1,Nadprodukcja sebum,Brak,19,Neutrogena Visibly Clear Clear & Defend Facial Wash,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Mieszana,1,Niedoskonałości,Rozszerzone pory,24,Neutrogena Visibly Clear Clear & Defend Facial Wash,Revox Just Niacinamide 10%,Tołpa - Authentic - Krem Matowa Skóra,Skin79 Waterproof Sun Gel Krem ochronny SPF50,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Normalna,1,Podrażnienie,Widoczne naczynka,21,Bielenda Fresh Juice Nawilżający micelarny żel do mycia twarzy z bioaktywną wodą cytrusową,Hellobody - cararise ,HelloBody Aloe Light nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,HELLO BODY Coco Dream Regenerujące serum,HelloBody Aloe Light nawilżający krem do twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Widoczne naczynka,Niedoskonałości,22,BANDI Pure Care Morski żel oczyszczający do twarzy,Basiclab serum antyoksydacyjne witamina C 15%,Tołpa authentic krem nawilżający,Some By Mi Truecica Mineral 100 Krem Przeciwsłoneczny Spf 50 Pa++++ Calming Suncream,Bandi peeling (ale działa jak serum i ma taką konsystencję),Tołpa Authentic Nawilżona Skóra,Acnederm,Maska Glinkowa Ziaja,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Widoczne naczynka,Przebarwienia,22,BANDI Pure Care Morski żel oczyszczający do twarzy,Basiclab serum antyoksydacyjne witamina C 15%,Tołpa authentic krem nawilżający,Some By Mi Truecica Mineral 100 Krem Przeciwsłoneczny Spf 50 Pa++++ Calming Suncream,Bandi peeling (ale działa jak serum i ma taką konsystencję),Tołpa Authentic Nawilżona Skóra,Acnederm,Maska Glinkowa Ziaja,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Podrażnienie,Niedoskonałości,24,OnlyBio Kombucha Puszysta pianka do mycia twarzy,Nacomi Next Lvl ceramidy 5%,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,Garnier Ambre Solaire SPF 50,Paula's Choice - Calm - Repairing Serum - Łagodząco-Nawilżające Serum,BIELENDA Blue Matcha krem-żel,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maska Glinkowa Ziaja,The Ordinary AHA 30% + BHA 2% Peeling Solution
Mieszana,1,Podrażnienie,Szara cera,24,ONLYBIO Face in Balance Pianka do twarzy adaptogenna enzymatyczna,Nacomi Next Lvl ceramidy 5%,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,La Roche-Posay Anthelios XL SPF50+,Paula's Choice - Calm - Repairing Serum - Łagodząco-Nawilżające Serum,BIELENDA Blue Matcha krem-żel,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maska Glinkowa Ziaja,The Ordinary AHA 30% + BHA 2% Peeling Solution
Normalna,0,Przebarwienia,Zaskórniki ,21,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,La Roche-Posay Nawilżający krem do nadwrażliwej skóry twarzy,Nacomi Next Level krem do twarzy SPF50 city formula,Nacomi Next Level niacinamide 15%,Tołpa Authentic Nawilżona Skóra,Pasta Cynkowa,Maska Glinkowa Ziaja,brak
Normalna,0,Przebarwienia,Zaskórniki ,21,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,La Roche-Posay Nawilżający krem do nadwrażliwej skóry twarzy,Nacomi Next Level krem do twarzy SPF50 city formula,Nacomi Next Level niacinamide 15%,Tołpa Authentic Nawilżona Skóra,Maść Ichtiolowa,Maska Glinkowa Ziaja,brak
Mieszana,1,Niedoskonałości,Suche skórki,22,Miya myBEUTYgel Pielęgnujący Żel do Mycia i Oczyszczania,Nacomi Next Lvl Serum z Witaminą C 15%,Caudalie Vinosource-Hydra krem intensywnie nawilżający,Holika Holika Aloe Waterproof Sun Gel SPF50+ żel przeciwsłoneczny,The Ordinary Hyaluronic Acid 2% + B5,Cerave nawilzajaca emulsja ,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak 
Mieszana,1,Niedoskonałości,Rozszerzone pory,22,Miya myBEUTYgel Pielęgnujący Żel do Mycia i Oczyszczania,Nacomi Next Lvl Serum z Witaminą C 15%,Caudalie Vinosource-Hydra krem intensywnie nawilżający,Holika Holika Aloe Waterproof Sun Gel SPF50+ żel przeciwsłoneczny,The Ordinary Hyaluronic Acid 2% + B5,Cerave nawilzajaca emulsja ,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak 
Normalna,1,Podrażnienie,Przebarwienia,22,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,HelloBody Aloe Light nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Hagi phases,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Niedoskonałości,Suche skórki,23,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Niedoskonałości,Podrażnienie,23,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Niedoskonałości,Rozszerzone pory,23,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Nacomi Next Lvl ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Niedoskonałości,Szara cera,32,FLUFF Superfood nawilżająca emulsja do mycia twarzy,Faceboom Korygująco-rozjaśniające Serum Do Twarzy,FLUFF Superfood mleko do twarzy Liczi,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,1,Niedoskonałości,Rozszerzone pory,32,FLUFF Superfood myjący mus do twarzy,Faceboom Korygująco-rozjaśniające Serum Do Twarzy,FLUFF Superfood mleko do twarzy Liczi,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,0,Nadprodukcja sebum,Widoczne naczynka,28,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,CeraVe Nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,0,Nadprodukcja sebum,Suche skórki,28,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,CeraVe Nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Podrażnienie,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Przebarwienia,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Podrażnienie,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Podrażnienie,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Przebarwienia,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Podrażnienie,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Podrażnienie,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Niedoskonałości,Przebarwienia,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,1,Widoczne naczynka,Podrażnienie,19,Dermokosmetyk Avene Pianka oczyszczająca,Revox Just Niacinamide 10%,Yves Rocher Riche Créme intensywny krem ??regenerujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Sudocrem,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,1,Nadprodukcja sebum,Suche skórki,22,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Nivea Soft Krem Intensywnie Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Olejek z drzewa herbacianego The Body Shop,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,brak
Mieszana,1,Nadprodukcja sebum,Przebarwienia,22,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Nivea Soft Krem Intensywnie Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Olejek z drzewa herbacianego The Body Shop,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,brak
Mieszana,1,Nadprodukcja sebum,Suche skórki,22,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Olejek z drzewa herbacianego The Body Shop,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,brak
Mieszana,1,Nadprodukcja sebum,Przebarwienia,22,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Olejek z drzewa herbacianego The Body Shop,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,brak
Mieszana,1,Niedoskonałości,Suche skórki,25,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Mieszana,1,Widoczne naczynka,Niedoskonałości,28,Vianek Nawilżająca Emulsja Myjąca do Twarzy,The Ordinary Hyaluronic Acid 2% + B5,Sensibio AR Bioderma,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Pharmaceris T Medi Acne-Pointgel,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,1,Widoczne naczynka,Rozszerzone pory,28,Vianek Nawilżająca Emulsja Myjąca do Twarzy,The Ordinary Hyaluronic Acid 2% + B5,Sensibio AR Bioderma,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Pharmaceris T Medi Acne-Pointgel,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,1,Widoczne naczynka,Nadprodukcja sebum,28,Vianek Nawilżająca Emulsja Myjąca do Twarzy,The Ordinary Hyaluronic Acid 2% + B5,Sensibio AR Bioderma,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Pharmaceris T Medi Acne-Pointgel,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,1,Podrażnienie,Przebarwienia,18,La Roche Posay Effaclar żel oczyszczający,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,1,Szara cera,Przebarwienia,19,BIELENDA CBD Cannabidiol,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,1,Szara cera,Przebarwienia,20,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,0,Szara cera,Przebarwienia,21,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Tołpa - Authentic - Krem Matowa Skóra,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,0,Szara cera,Przebarwienia,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,The Ordinary - Amino Acids + B5 - Serum Nawilżające z Aminokwasami i Witaminą B5,Caudalie Vinosource-Hydra krem intensywnie nawilżający,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,0,Szara cera,Suche skórki,23,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,CeraVe Nawilżający Krem do Twarzy,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,1,Szara cera,Suche skórki,24,Żel Tołpa Dermo Face Physio,The Ordinary - Amino Acids + B5 - Serum Nawilżające z Aminokwasami i Witaminą B5,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,1,Szara cera,Suche skórki,25,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,La Roche-Posay Anthelios XL SPF50+,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,FACEBOOM Seboom peeling kwasowy wygładzający
